"","BART","BART_std_err","longBART","longBART_std_err","DART","DART_std_err"
"1",21.852963,0.198235276567862,21.7650847,0.182301886112266,66.427012,1.30259138972568
"2",18.026012,0.140279449214137,18.0588576,0.126732306162744,43.940726,0.718763268232862
"3",6.85089,0.101080305598387,6.805743,0.0862423989549318,10.488921,0.279102717669549
"4",11.178131,0.10041717170388,11.09394,0.089511866153414,24.035799,0.444843596142604
"5",2.447399,0.0668117626689511,2.4349109,0.0616876616676344,0.080967,0.0310184536153693
"6",2.325211,0.0635172749411209,2.3176845,0.0511133199833431,0.102544,0.0460922762394419
"7",2.31785,0.0641096997291797,2.2963563,0.0507022253399235,0.069187,0.0356529604689286
"8",2.293965,0.0630464955209497,2.2878017,0.0501029365088927,0.069423,0.0236481725075941
"9",2.354753,0.0662639502012635,2.3348896,0.0531450514216878,0.086642,0.0312385310379948
"10",2.343214,0.0629724145432418,2.3026316,0.0502012836618163,0.05779,0.0203304231181533
"11",4.080663,0.0692956932578867,4.0653614,0.0422680720523245,0.777662,0.366309163945092
"12",4.051913,0.0697125800312907,4.0245914,0.0400957865734729,0.646227,0.280575218619294
"13",4.070596,0.068504937135169,4.077143,0.0482121340389913,1.161306,0.439511732453824
"14",4.060466,0.064177867329583,4.0936711,0.0453529284083433,1.106869,0.424109082159361
"15",4.081218,0.0717045968215007,4.0787121,0.0442102753838846,1.345708,0.518431030860892
"16",4.097129,0.0732865066500794,4.1037359,0.0487963334571289,1.17757,0.473999462612829
"17",4.089573,0.0668039369950411,4.0721581,0.0485278768926399,1.157101,0.448901379401353
"18",4.059679,0.0692271508733286,4.0877633,0.0482047696361569,1.723512,0.551298851867056
"19",4.140226,0.0716542228953899,4.1177917,0.0469164162886981,1.147415,0.458170978630238
"20",6.629756,0.0742108621669579,6.5146606,0.0534210695276488,39.44017,1.13534508898478
"21",4.109712,0.0679155021666137,4.1170396,0.0476580423990991,1.161855,0.425414142305724
"22",4.112328,0.0707920515060084,4.1135856,0.0452504087671699,1.140572,0.43936952310832
"23",4.048882,0.0656469708126212,4.0846038,0.0385595192562863,0.92227,0.331024120787861
"24",4.091921,0.0702486440496516,4.056897,0.0448496525584575,1.096881,0.422014548477809
"25",4.095963,0.0740938407084979,4.0712603,0.0452510997549854,1.265405,0.475270628111325
"26",4.047964,0.0652959536212758,4.029444,0.0410636711027773,0.938199,0.432400446751374
"27",4.04556,0.0668005100958136,4.0176114,0.0422797951714034,1.204657,0.441317627946748
"28",4.0248,0.0708976073092524,4.0511038,0.0435437303314155,0.818581,0.359610653132773
"29",4.154669,0.0716072882412796,4.0715964,0.0467975232171096,1.609144,0.56352064032443
"30",4.081722,0.0681578298333634,4.0575598,0.0420768969865027,0.936333,0.351624673017248
"31",4.030122,0.0715773334628712,4.0674779,0.0493015034431714,1.212735,0.447000063148599
"32",4.132846,0.0747317473984189,4.0956728,0.0456799937527559,1.821165,0.585570735733106
"33",4.140966,0.0680425231205441,4.0974145,0.0439881384160208,1.201939,0.407465903042574
"34",4.089522,0.0689753286872897,4.059489,0.0413085446807659,1.25101,0.456424607709146
"35",4.056009,0.0680727318255366,4.0874274,0.0460632426658082,1.25121,0.506206200631809
"36",4.084176,0.0710213277549755,4.1096105,0.0440522843057087,1.275719,0.434495338341065
"37",4.041841,0.0668945051160568,4.065321,0.0405856843948013,1.048078,0.410746535254142
"38",4.072692,0.0715139131501445,4.067892,0.04421447456514,1.30933,0.483202295936819
"39",4.081718,0.0690800182034696,4.0771141,0.044450753629812,0.994292,0.390186169046765
"40",4.072349,0.0703762518031705,4.0639722,0.0453961572293632,1.444418,0.532705416128287
"41",4.13258,0.06940302350439,4.0660419,0.046160055283713,1.238329,0.449350944046878
"42",4.074,0.0736340019670645,4.0548217,0.0471496998239469,1.035527,0.421793150570957
"43",4.066568,0.0717459971405917,4.064334,0.0482230290785113,0.823023,0.342075571832507
"44",4.06238,0.070308067765581,4.0818395,0.0443979236102685,1.395258,0.5078551179516
"45",4.078404,0.0677037553714621,4.0797256,0.0509921567600677,1.433106,0.524320095636077
"46",4.088499,0.0667081741869125,4.0754419,0.0445957767198116,0.948617,0.379092391105633
"47",4.099169,0.0724091844015183,4.0880703,0.0480794214562979,1.240317,0.444990444006921
"48",4.117244,0.0716561957596553,4.0766524,0.0456763429813641,1.221244,0.474803096103267
"49",4.087814,0.0762407609845815,4.0785956,0.04618502788784,1.033617,0.3747940343845
"50",4.092984,0.0698641761907837,4.0968797,0.0467374003988534,1.306507,0.467108946687302
