"","DGP","Model","PEHE","SE"
"Not Sparse.BCF","Not Sparse","BCF",0.956012873607753,0.0239806612670846
"Sparse PS.BCF","Sparse PS","BCF",0.922308886391607,0.0212770871717785
"Sparse Mu.BCF","Sparse Mu","BCF",0.863083027198228,0.0214434372979789
"Sparse Tau.BCF","Sparse Tau","BCF",0.674123126856265,0.0160553366988061
"Not Sparse.SH-BCF","Not Sparse","SH-BCF",0.923942963375846,0.0244453969596744
"Sparse PS.SH-BCF","Sparse PS","SH-BCF",0.899735051742563,0.022586840442984
"Sparse Mu.SH-BCF","Sparse Mu","SH-BCF",0.83039787772034,0.0225119338074166
"Sparse Tau.SH-BCF","Sparse Tau","SH-BCF",0.670535867473869,0.0171488563361117
