"","DGP","Model","PEHE","SE"
"Not Sparse.BCF","Not Sparse","BCF",0.956012873607753,0.0239806612670846
"Sparse PS.BCF","Sparse PS","BCF",0.909208436878462,0.0214289927080867
"Sparse Mu.BCF","Sparse Mu","BCF",0.850434281168826,0.0219524863764062
"Sparse Tau.BCF","Sparse Tau","BCF",0.668346418962485,0.0164262512057979
"Not Sparse.SH-BCF","Not Sparse","SH-BCF",0.923942963375846,0.0244453969596744
"Sparse PS.SH-BCF","Sparse PS","SH-BCF",0.88450073249354,0.0224205213070656
"Sparse Mu.SH-BCF","Sparse Mu","SH-BCF",0.810751149888693,0.0225090867716589
"Sparse Tau.SH-BCF","Sparse Tau","SH-BCF",0.656354508781482,0.0180027006580861
